Date;Healthcare Global ETF(IXJ);MSCI World ETF (URTH);Tbill 1y (IB01.SW);Tbill 7-10y (IGTM.L);Gold ETF (SGOL);Real Estate ETF (VNQ);BTC-USD;Energy ETF (VDE);Oil ETF (HUC.TO);NYSE Composite (^NYA)
20/05/2020;66.9368667602539;85.40347290039062;5.144000053405762;5.710000038146973;16.84000015258789;67.79950714111328;9522.9814453125;47.66771697998047;8.119999885559082;11420.0400390625
21/05/2020;66.29371643066406;84.6100082397461;;5.732999801635742;16.610000610351562;67.8555908203125;9081.76171875;46.94367599487305;8.220000267028809;11351.599609375
22/05/2020;66.48861694335938;84.62934875488281;5.144000053405762;5.73199987411499;16.709999084472656;68.77166748046875;9182.5771484375;46.714542388916016;8.130000114440918;11331.9697265625
23/05/2020;;;;;;;9209.287109375;;;
24/05/2020;;;;;;;8790.3681640625;;;
25/05/2020;;;5.144000053405762;;;;8906.9345703125;;8.100000381469727;
26/05/2020;66.4593734741211;86.20658874511719;5.146999835968018;5.712500095367432;16.479999542236328;71.34232330322266;8835.052734375;48.05264663696289;8.289999961853027;11603.0
27/05/2020;66.67376708984375;87.45484161376953;5.145999908447266;5.728499889373779;16.5;72.76317596435547;9181.017578125;48.63005828857422;8.039999961853027;11837.5302734375
28/05/2020;67.74568176269531;87.61934661865234;5.145999908447266;5.7195000648498535;16.540000915527344;73.10905456542969;9525.7509765625;47.301109313964844;8.119999885559082;11804.91015625
29/05/2020;68.4083251953125;87.76448822021484;5.14300012588501;5.732999801635742;16.68000030517578;72.37992858886719;9439.1240234375;47.08115005493164;8.390000343322754;11802.9501953125
30/05/2020;;;;;;;9700.4140625;;;
31/05/2020;;;;;;;9461.05859375;;;
01/06/2020;68.22318267822266;88.69342041015625;;5.72599983215332;16.760000228881836;74.05317687988281;10167.2685546875;47.933509826660156;8.5;11900.240234375
02/06/2020;68.37910461425781;89.48688507080078;5.14300012588501;5.729000091552734;16.6299991607666;74.65142822265625;9529.8037109375;49.25328063964844;8.739999771118164;12046.41015625
03/06/2020;68.38884735107422;90.9093017578125;5.144000053405762;5.691999912261963;16.329999923706055;77.04446411132812;9656.7177734375;50.765525817871094;8.779999732971191;12302.1904296875
04/06/2020;67.8431396484375;90.56094360351562;5.144999980926514;5.677499771118164;16.520000457763672;76.27793884277344;9800.63671875;50.89383316040039;8.829999923706055;12286.98046875
05/06/2020;68.67144012451172;92.63169860839844;5.144999980926514;5.624000072479248;16.170000076293945;79.16641998291016;9665.533203125;54.87148666381836;9.220000267028809;12641.4404296875
06/06/2020;;;;;;;9653.6796875;;;
07/06/2020;;;;;;;9758.8525390625;;;
08/06/2020;69.00275421142578;93.76382446289062;5.144999980926514;5.651500225067139;16.34000015258789;81.12946319580078;9771.4892578125;57.80432891845703;9.0;12836.599609375
09/06/2020;68.45706176757812;92.89295196533203;5.144999980926514;5.668499946594238;16.5;79.78336334228516;9795.7001953125;55.5130500793457;9.100000381469727;12619.51953125
